issuer,category,rating,maturity,yield
기업은행,금융채 은행채 AAA(중금-이표),AAA,0.25,2.77
산업은행,금융채 은행채 AAA(산금-이표),AAA,0.25,2.77
신한은행,금융채 은행채 AAA,AAA,0.25,2.791
스탠다드차타드은행,금융채 은행채 AAA,AAA,0.25,2.801
하나은행,금융채 은행채 AAA,AAA,0.25,2.791
아이엠뱅크,금융채 은행채 AAA,AAA,0.25,2.803
부산은행,금융채 은행채 AAA,AAA,0.25,2.803
국민은행,금융채 은행채 AAA,AAA,0.25,2.791
한국수출입은행,금융채 은행채 AAA,AAA,0.25,2.77
우리은행,금융채 은행채 AAA,AAA,0.25,2.791
수협은행,금융채 은행채 AAA,AAA,0.25,2.796
농협은행,금융채 은행채 AAA,AAA,0.25,2.791
제주은행,금융채 은행채 AA+,AA+,0.25,2.817
전북은행,금융채 은행채 AA+,AA+,0.25,2.81
경남은행,금융채 은행채 AA+,AA+,0.25,2.806
광주은행,금융채 은행채 AA+,AA+,0.25,2.813
예금보험공사(정부보증),공사/공단채 정부보증,AAA,0.25,2.706
한국장학재단,공사/공단채 정부보증,AAA,0.25,2.706
한국전력공사,공사/공단채 AAA,AAA,0.25,2.8
농협중앙회,공사/공단채 AAA,AAA,0.25,2.786
수협중앙회,공사/공단채 AAA,AAA,0.25,2.83
한국자산관리공사,공사/공단채 AAA,AAA,0.25,2.733
한국가스공사,공사/공단채 AAA,AAA,0.25,2.797
주택도시보증공사,공사/공단채 AAA,AAA,0.25,2.804
한국도로공사,공사/공단채 AAA,AAA,0.25,2.751
중소벤처기업진흥공단,공사/공단채 AAA,AAA,0.25,2.722
여수광양항만공사,공사/공단채 AAA,AAA,0.25,2.799
인천국제공항공사,공사/공단채 AAA,AAA,0.25,2.788
농어촌공사,공사/공단채 AAA,AAA,0.25,2.783
경기주택도시공사,공사/공단채 AAA,AAA,0.25,2.814
한국석유공사,공사/공단채 AAA,AAA,0.25,2.761
국가철도공단,공사/공단채 AAA,AAA,0.25,2.78
