issuer,maturity,yield
신한은행,0.083333,2.7
스탠다드차타드은행,0.083333,2.71
하나은행,0.083333,2.7
아이엠뱅크,0.083333,2.71
부산은행,0.083333,2.7
국민은행,0.083333,2.7
기업은행,0.083333,2.7
산업은행,0.083333,2.69
우리은행,0.083333,2.7
수협은행,0.083333,2.71
농협은행,0.083333,2.7
대화은행(서울지점),0.083333,2.76
크레디아그리콜코퍼레이트,0.083333,2.75
신한은행,0.166667,2.76
스탠다드차타드은행,0.166667,2.77
하나은행,0.166667,2.77
아이엠뱅크,0.166667,2.77
부산은행,0.166667,2.77
국민은행,0.166667,2.77
기업은행,0.166667,2.76
산업은행,0.166667,2.75
우리은행,0.166667,2.76
수협은행,0.166667,2.77
농협은행,0.166667,2.76
대화은행(서울지점),0.166667,2.82
크레디아그리콜코퍼레이트,0.166667,2.81
신한은행,0.25,2.81
스탠다드차타드은행,0.25,2.81
하나은행,0.25,2.81
아이엠뱅크,0.25,2.82
부산은행,0.25,2.81
국민은행,0.25,2.81
기업은행,0.25,2.8
산업은행,0.25,2.79
우리은행,0.25,2.81
수협은행,0.25,2.82
농협은행,0.25,2.81
대화은행(서울지점),0.25,2.87
크레디아그리콜코퍼레이트,0.25,2.86
신한은행,0.333333,2.82
스탠다드차타드은행,0.333333,2.82
하나은행,0.333333,2.82
아이엠뱅크,0.333333,2.82
부산은행,0.333333,2.82
국민은행,0.333333,2.82
우리은행,0.333333,2.82
농협은행,0.333333,2.82
신한은행,0.5,2.82
스탠다드차타드은행,0.5,2.83
하나은행,0.5,2.83
아이엠뱅크,0.5,2.83
부산은행,0.5,2.83
국민은행,0.5,2.83
기업은행,0.5,2.82
산업은행,0.5,2.82
우리은행,0.5,2.82
수협은행,0.5,2.83
농협은행,0.5,2.82
대화은행(서울지점),0.5,2.89
크레디아그리콜코퍼레이트,0.5,2.88
신한은행,1.0,2.82
스탠다드차타드은행,1.0,2.84
하나은행,1.0,2.83
아이엠뱅크,1.0,2.84
부산은행,1.0,2.83
국민은행,1.0,2.83
기업은행,1.0,2.82
산업은행,1.0,2.82
우리은행,1.0,2.82
수협은행,1.0,2.83
농협은행,1.0,2.82
대화은행(서울지점),1.0,2.89
크레디아그리콜코퍼레이트,1.0,2.88
신한은행,2.0,2.87
스탠다드차타드은행,2.0,2.87
하나은행,2.0,2.87
아이엠뱅크,2.0,2.87
부산은행,2.0,2.87
국민은행,2.0,2.87
우리은행,2.0,2.87
농협은행,2.0,2.87
