date,maturity,yield
2025-01-09,0.25,3.022
2025-01-09,0.5,3.046
2025-01-09,0.75,2.91
2025-01-09,1.0,2.832
2025-01-09,1.5,2.758
2025-01-09,2.0,2.787
2025-01-09,2.5,2.834
2025-01-09,3.0,2.791
2025-01-09,4.0,2.848
2025-01-09,5.0,2.905
2025-01-09,7.0,3.009
2025-01-09,10.0,3.007
2025-01-09,15.0,2.971
2025-01-09,20.0,2.888
2025-01-09,30.0,2.887
2025-01-10,0.25,3.012
2025-01-10,0.5,3.031
2025-01-10,0.75,2.896
2025-01-10,1.0,2.828
2025-01-10,1.5,2.761
2025-01-10,2.0,2.795
2025-01-10,2.5,2.865
2025-01-10,3.0,2.843
2025-01-10,4.0,2.889
2025-01-10,5.0,2.944
2025-01-10,7.0,3.058
2025-01-10,10.0,3.053
2025-01-10,15.0,3.008
2025-01-10,20.0,2.926
2025-01-10,30.0,2.92
2025-01-13,0.25,3.003
2025-01-13,0.5,3.02
2025-01-13,0.75,2.889
2025-01-13,1.0,2.84
2025-01-13,1.5,2.799
2025-01-13,2.0,2.855
2025-01-13,2.5,2.939
2025-01-13,3.0,2.922
2025-01-13,4.0,2.951
2025-01-13,5.0,3.006
2025-01-13,7.0,3.111
2025-01-13,10.0,3.088
2025-01-13,15.0,3.041
2025-01-13,20.0,2.954
2025-01-13,30.0,2.94
2025-01-14,0.25,2.993
2025-01-14,0.5,3.01
2025-01-14,0.75,2.875
2025-01-14,1.0,2.819
2025-01-14,1.5,2.787
2025-01-14,2.0,2.83
2025-01-14,2.5,2.913
2025-01-14,3.0,2.895
2025-01-14,4.0,2.933
2025-01-14,5.0,2.985
2025-01-14,7.0,3.084
2025-01-14,10.0,3.058
2025-01-14,15.0,2.985
2025-01-14,20.0,2.91
2025-01-14,30.0,2.892
2025-01-15,0.25,2.985
2025-01-15,0.5,3.005
2025-01-15,0.75,2.874
2025-01-15,1.0,2.819
2025-01-15,1.5,2.808
2025-01-15,2.0,2.854
2025-01-15,2.5,2.935
2025-01-15,3.0,2.924
2025-01-15,4.0,2.962
2025-01-15,5.0,3.025
2025-01-15,7.0,3.126
2025-01-15,10.0,3.086
2025-01-15,15.0,3.005
2025-01-15,20.0,2.922
