date,maturity,yield
2025-01-09,0.25,3.307
2025-01-09,0.5,3.31
2025-01-09,0.75,3.233
2025-01-09,1.0,3.149
2025-01-09,1.5,3.077
2025-01-09,2.0,3.121
2025-01-09,2.5,3.189
2025-01-09,3.0,3.201
2025-01-09,4.0,3.261
2025-01-09,5.0,3.391
2025-01-09,7.0,3.975
2025-01-09,10.0,4.568
2025-01-09,15.0,4.933
2025-01-09,20.0,5.151
2025-01-10,0.25,3.287
2025-01-10,0.5,3.287
2025-01-10,0.75,3.214
2025-01-10,1.0,3.142
2025-01-10,1.5,3.077
2025-01-10,2.0,3.131
2025-01-10,2.5,3.223
2025-01-10,3.0,3.258
2025-01-10,4.0,3.302
2025-01-10,5.0,3.437
2025-01-10,7.0,4.024
2025-01-10,10.0,4.614
2025-01-10,15.0,4.97
2025-01-10,20.0,5.19
2025-01-13,0.25,3.279
2025-01-13,0.5,3.279
2025-01-13,0.75,3.209
2025-01-13,1.0,3.143
2025-01-13,1.5,3.11
2025-01-13,2.0,3.188
2025-01-13,2.5,3.299
2025-01-13,3.0,3.336
2025-01-13,4.0,3.368
2025-01-13,5.0,3.506
2025-01-13,7.0,4.08
2025-01-13,10.0,4.649
2025-01-13,15.0,5.004
2025-01-13,20.0,5.218
2025-01-14,0.25,3.266
2025-01-14,0.5,3.264
2025-01-14,0.75,3.196
2025-01-14,1.0,3.123
2025-01-14,1.5,3.086
2025-01-14,2.0,3.15
2025-01-14,2.5,3.265
2025-01-14,3.0,3.308
2025-01-14,4.0,3.347
2025-01-14,5.0,3.485
2025-01-14,7.0,4.055
2025-01-14,10.0,4.619
2025-01-14,15.0,4.947
2025-01-14,20.0,5.174
2025-01-15,0.25,3.259
2025-01-15,0.5,3.259
2025-01-15,0.75,3.193
2025-01-15,1.0,3.122
2025-01-15,1.5,3.089
2025-01-15,2.0,3.157
2025-01-15,2.5,3.282
2025-01-15,3.0,3.326
2025-01-15,4.0,3.369
2025-01-15,5.0,3.526
2025-01-15,7.0,4.1
2025-01-15,10.0,4.648
2025-01-15,15.0,4.967
2025-01-15,20.0,5.185
2025-01-16,0.25,3.242
2025-01-16,0.5,3.243
2025-01-16,0.75,3.172
2025-01-16,1.0,3.095
2025-01-16,1.5,3.047
2025-01-16,2.0,3.095
2025-01-16,2.5,3.218
2025-01-16,3.0,3.261
2025-01-16,4.0,3.31
2025-01-16,5.0,3.467
2025-01-16,7.0,4.031
2025-01-16,10.0,4.584
2025-01-16,15.0,4.928
2025-01-16,20.0,5.162
2025-01-17,0.25,3.232
2025-01-17,0.5,3.231
2025-01-17,0.75,3.161
2025-01-17,1.0,3.076
2025-01-17,1.5,3.026
2025-01-17,2.0,3.062
2025-01-17,2.5,3.175
2025-01-17,3.0,3.216
2025-01-17,4.0,3.27
2025-01-17,5.0,3.432
2025-01-17,7.0,3.996
2025-01-17,10.0,4.588
2025-01-17,15.0,4.93
2025-01-17,20.0,5.168
2025-01-20,0.25,3.227
2025-01-20,0.5,3.226
